[12:14:09] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:14:14] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:14:14] [main/INFO]: Reloading ResourceManager: Default
[12:14:15] [Worker-Main-6/INFO]: Loaded 7 recipes
[12:14:16] [Worker-Main-6/INFO]: Loaded 927 advancements
[12:14:42] [Server thread/INFO]: Starting minecraft server version 1.16.1
[12:14:42] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[12:14:42] [Server thread/INFO]: Loading properties
[12:14:42] [Server thread/INFO]: Default game type: SURVIVAL
[12:14:42] [Server thread/INFO]: Generating keypair
[12:14:42] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:1.8.0_251]
	at java.io.FileInputStream.read(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedInputStream.read1(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedInputStream.read(Unknown Source) ~[?:1.8.0_251]
	at sun.nio.cs.StreamDecoder.readBytes(Unknown Source) ~[?:1.8.0_251]
	at sun.nio.cs.StreamDecoder.implRead(Unknown Source) ~[?:1.8.0_251]
	at sun.nio.cs.StreamDecoder.read(Unknown Source) ~[?:1.8.0_251]
	at java.io.InputStreamReader.read(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedReader.fill(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_251]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_251]
	at yd$1.run(SourceFile:90) [server.jar:?]
[12:14:44] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:14:44] [Server thread/INFO]: Using default channel type
[12:14:47] [Server thread/INFO]: Preparing level "world"
[12:15:00] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[12:15:00] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[12:15:00] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[12:15:01] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[12:15:01] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[12:15:02] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[12:15:02] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[12:15:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[12:15:03] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[12:15:04] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[12:15:04] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[12:15:05] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[12:15:05] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[12:15:06] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[12:15:06] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[12:15:07] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[12:15:07] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:15:08] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:15:08] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:15:09] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:15:09] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:15:10] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:15:10] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:15:11] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:15:11] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:15:12] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:15:12] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:15:13] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:13] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[12:15:14] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[12:15:14] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:15] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:15] [Worker-Main-9/INFO]: Preparing spawn area: 9%
[12:15:16] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:16] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:17] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:15:17] [Worker-Main-9/INFO]: Preparing spawn area: 9%
